config_index,env,strategy_label,w_entropy,w_progress,w_variance,alpha,epsilon,epsilon_decay,gamma,final_reward,convergence_episode,avg_unique_states
1,Unlock,novelty_wE0.25_wP0.5_wV0.25_a0.1_eps1.0_decay0.9999_g0.99,0.25,0.5,0.25,0.1,1.0,0.9999,0.99,0.838481,9452, 18.0881
2,Unlock,novelty_wE0.32_wP0.58_wV0.1_a0.1_eps1.0_decay0.9999_g0.99,0.32,0.58,0.1,0.1,1.0,0.9999,0.99,0.736912,9452,18.2252
3,Unlock,novelty_wE0.2_wP0.35_wV0.45_a0.1_eps1.0_decay0.9999_g0.99,0.2,0.35,0.45,0.1,1.0,0.9999,0.99,0.857162,9452,18.029
4,Unlock,novelty_wE0.27_wP0.47_wV0.26_a0.1_eps1.0_decay0.9999_g0.99,0.27,0.47,0.26,0.1,1.0,0.9999,0.99,0.759062,9452,18.113
5,Unlock,novelty_wE0.5_wP0.3_wV0.2_a0.1_eps1.0_decay0.9999_g0.99,0.5,0.3,0.2,0.1,1.0,0.9999,0.99,0.199231,NA,19.3614
6,Unlock,novelty_wE0.22_wP0.48_wV0.3_a0.1_eps1.0_decay0.9999_g0.99,0.22,0.48,0.3,0.1,1.0,0.9999,0.99,0.844850,9452,18.018
7,Unlock,novelty_wE0.36_wP0.34_wV0.3_a0.1_eps1.0_decay0.9999_g0.99,0.36,0.34,0.3,0.1,1.0,0.9999,0.99,0.622769,9635,18.45935
8,Unlock,novelty_wE0.37_wP0.33_wV0.3_a0.1_eps1.0_decay0.9999_g0.99,0.37,0.33,0.3,0.1,1.0,0.9999,0.99,0.593362,9665,18.47815
9,Unlock,novelty_wE0.28_wP0.52_wV0.2_a0.1_eps1.0_decay0.9999_g0.99,0.28,0.52,0.2,0.1,1.0,0.9999,0.99,0.751587,9452,18.1341
10,Unlock,novelty_wE0.33_wP0.33_wV0.34_a0.1_eps1.0_decay0.9999_g0.99,0.33,0.33,0.34,0.1,1.0,0.9999,0.99,0.660850,9452,18.34795
11,Unlock,novelty_wE0.4_wP0.4_wV0.2_a0.1_eps1.0_decay0.9999_g0.99,0.4,0.4,0.2,0.1,1.0,0.9999,0.99,0.600569,10200,18.58805
12,Unlock,novelty_wE0.15_wP0.75_wV0.1_a0.1_eps1.0_decay0.9999_g0.99,0.15,0.75,0.1,0.1,1.0,0.9999,0.99,0.961150,9452,17.93415
13,Unlock,novelty_wE0.38_wP0.42_wV0.2_a0.1_eps1.0_decay0.9999_g0.99,0.38,0.42,0.2,0.1,1.0,0.9999,0.99,0.621075,9662,18.47555
14,Unlock,novelty_wE0.48_wP0.22_wV0.3_a0.1_eps1.0_decay0.9999_g0.99,0.48,0.22,0.3,0.1,1.0,0.9999,0.99,0.396525,NA,19.2701
15,Unlock,novelty_wE0.6_wP0.25_wV0.15_a0.1_eps1.0_decay0.9999_g0.99,0.6,0.25,0.15,0.1,1.0,0.9999,0.99,-0.364163,NA,21.19785
16,Unlock,novelty_wE0.26_wP0.64_wV0.1_a0.1_eps1.0_decay0.9999_g0.99,0.26,0.64,0.1,0.1,1.0,0.9999,0.99,0.844013,9452,18.0414
17,Unlock,novelty_wE0.4_wP0.25_wV0.35_a0.1_eps1.0_decay0.9999_g0.99,0.4,0.25,0.35,0.1,1.0,0.9999,0.99,0.592462,12153,18.6666
18,Unlock,novelty_wE0.28_wP0.38_wV0.34_a0.1_eps1.0_decay0.9999_g0.99,0.28,0.38,0.34,0.1,1.0,0.9999,0.99,0.771837,9452,18.20525
19,Unlock,novelty_wE0.31_wP0.29_wV0.4_a0.1_eps1.0_decay0.9999_g0.99,0.31,0.29,0.4,0.1,1.0,0.9999,0.99,0.671369,9452,18.3089
20,Unlock,novelty_wE0.42_wP0.28_wV0.3_a0.1_eps1.0_decay0.9999_g0.99,0.42,0.28,0.3,0.1,1.0,0.9999,0.99,0.503787,11301,18.7964
21,Unlock,novelty_wE0.45_wP0.3_wV0.25_a0.1_eps1.0_decay0.9999_g0.99,0.45,0.3,0.25,0.1,1.0,0.9999,0.99,0.430087,13795,18.94745
22,Unlock,novelty_wE0.3_wP0.4_wV0.3_a0.1_eps1.0_decay0.9999_g0.99,0.3,0.4,0.3,0.1,1.0,0.9999,0.99,0.706462,9452,18.18135
23,Unlock,novelty_wE0.3_wP0.55_wV0.15_a0.1_eps1.0_decay0.9999_g0.99,0.3,0.55,0.15,0.1,1.0,0.9999,0.99,0.800769,9452,18.16665
24,Unlock,novelty_wE0.44_wP0.36_wV0.2_a0.1_eps1.0_decay0.9999_g0.99,0.44,0.36,0.2,0.1,1.0,0.9999,0.99,0.529700,15004,18.79755
25,Unlock,novelty_wE0.2_wP0.6_wV0.2_a0.1_eps1.0_decay0.9999_g0.99,0.2,0.6,0.2,0.1,1.0,0.9999,0.99,0.905813,9452,17.98195
26,Unlock,novelty_wE0.35_wP0.45_wV0.2_a0.1_eps1.0_decay0.9999_g0.99,0.35,0.45,0.2,0.1,1.0,0.9999,0.99,0.667162,9452,18.3517
27,Unlock,novelty_wE0.25_wP0.25_wV0.5_a0.1_eps1.0_decay0.9999_g0.99,0.25,0.25,0.5,0.1,1.0,0.9999,0.99,0.781312,9452,18.1491
28,Unlock,novelty_wE0.2_wP0.7_wV0.1_a0.1_eps1.0_decay0.9999_g0.99,0.2,0.7,0.1,0.1,1.0,0.9999,0.99,0.869406,9452,17.97795
29,Unlock,novelty_wE0.34_wP0.26_wV0.4_a0.1_eps1.0_decay0.9999_g0.99,0.34,0.26,0.4,0.1,1.0,0.9999,0.99,0.647006,9990,18.4005
30,Unlock,novelty_wE0.24_wP0.44_wV0.32_a0.1_eps1.0_decay0.9999_g0.99,0.24,0.44,0.32,0.1,1.0,0.9999,0.99,0.798137,9452,18.05645
